Size,Zeta Potential,Admin,Type,MAT,TS,CT,TM,Shape,_candidate_id,pred_proba_high,pred_score,Size (nm),rank_model
2.31,-13.615,261.763,Hybrid,Hybrid,Passive,Skin,Allograft Orthotopic,Spherical,29268,0.9767399071931482,0.9767399071931482,204.17379446695296,15
1.475,-3.032,340.469,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,480,0.9764925882062437,0.9764925882062437,29.853826189179603,16
2.101,-9.568,141.122,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,23697,0.976107379375985,0.976107379375985,126.18275345906706,17
1.657,-3.391,59.224,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,437,0.9758795838470665,0.9758795838470665,45.39416166502032,18
2.349,-8.644,200.304,ONM,Polymeric,Passive,Sarcoma,Allograft Heterotopic,Spherical,17094,0.9749346728253528,0.9749346728253528,223.35722228305326,19
2.323,-23.689,261.797,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,11950,0.9746761905094615,0.9746761905094615,210.3778439766475,20
2.135,-11.909,86.202,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,32698,0.9743263790524728,0.9743263790524728,136.4583136588924,21
2.203,-29.694,229.754,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,12401,0.9741216906178048,0.9741216906178048,159.5879147236732,22
2.336,-11.634,102.092,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,41914,0.9739682289223686,0.9739682289223686,216.7704104819694,23
2.274,-17.095,247.592,INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,37027,0.9737527327944823,0.9737527327944823,187.93168168032685,24
2.53,-17.06,200.507,Hybrid,Hybrid,Passive,Skin,Allograft Orthotopic,Spherical,23366,0.9735701616556997,0.9735701616556997,338.84415613920237,25
1.661,-1.128,178.18,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,18988,0.9731342803090137,0.9731342803090137,45.81418867145335,26
2.409,-13.316,402.809,INM,Hybrid,Passive,Skin,Xenograft Orthotopic,Spherical,23897,0.9728921008640518,0.9728921008640518,256.4484036517716,27
1.195,-0.074,118.299,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,43405,0.9727478412812556,0.9727478412812556,15.667510701081493,28
2.381,-10.598,347.364,INM,Hybrid,Passive,Skin,Xenograft Orthotopic,Spherical,36738,0.9721803018445055,0.9721803018445055,240.43628000069322,29
1.723,-3.256,268.662,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,33347,0.9720272253540162,0.9720272253540162,52.84452517751805,30
2.121,-10.902,266.396,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,13234,0.9720091438473896,0.9720091438473896,132.1295634186575,31
1.602,-0.561,122.774,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,4366,0.9719090822398753,0.9719090822398753,39.99447497610976,32
2.15,-21.428,0.391,INM,Gold,Active,Breast,Xenograft Heterotopic,Spherical,31937,0.9717128985974363,0.9717128985974363,141.2537544622754,33
2.4,-12.679,399.297,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,42208,0.9714848054358953,0.9714848054358953,251.18864315095797,34
2.043,-8.029,75.136,INM,Gold,Active,Other,Allograft Heterotopic,Rod,12890,0.971139677831314,0.971139677831314,110.40786199020735,35
1.382,0.187,207.455,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,35474,0.9710875995841666,0.9710875995841666,24.099054286865943,36
2.309,-10.582,288.904,INM,Hybrid,Passive,Skin,Xenograft Orthotopic,Spherical,46015,0.9709871493038815,0.9709871493038815,203.7042077705719,37
2.495,-6.119,200.726,INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,29519,0.9706930725375248,0.9706930725375248,312.6079367123956,38
2.311,-34.668,200.909,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,324,0.9700666540328113,0.9700666540328113,204.6444636724674,39
2.333,-11.799,162.764,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,2714,0.9700378979396306,0.9700378979396306,215.27817347243737,40
2.437,-16.095,130.561,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,676,0.9694461660597441,0.9694461660597441,273.5268726306711,41
1.576,-5.678,52.055,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,16363,0.9693063422207555,0.9693063422207555,37.67037989839089,42
0.773,-1.885,420.065,INM,Silica,Active,Breast,Xenograft Orthotopic,Spherical,44248,0.9685942447764926,0.9685942447764926,5.929253245799998,43
2.226,-34.883,384.97,ONM,Polymeric,Passive,Prostate,Xenograft Heterotopic,Spherical,21784,0.9684932175958212,0.9684932175958212,168.26740610704672,44
1.485,0.812,139.202,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,40773,0.9684050376333321,0.9684050376333321,30.54921113215514,45
2.335,-9.455,387.737,INM,Hybrid,Passive,Skin,Xenograft Orthotopic,Spherical,23155,0.968234032367784,0.968234032367784,216.271852372702,46
1.571,-6.657,21.001,ONM,Dendrimer,Active,Liver,Allograft Heterotopic,Spherical,30198,0.9672701047303619,0.9672701047303619,37.23917062545685,47
1.449,-5.936,21.766,Hybrid,Hybrid,Active,Liver,Allograft Heterotopic,Spherical,4844,0.9667517438178518,0.9667517438178518,28.11900830398941,48
1.237,-3.081,196.684,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,49491,0.9667485473423012,0.9667485473423012,17.25837891990204,49
0.703,-5.665,415.755,INM,Silica,Active,Breast,Xenograft Orthotopic,Spherical,48655,0.9663226571677204,0.9663226571677204,5.046612975635283,50
2.35,-16.76,216.075,Hybrid,Hybrid,Passive,Liver,Allograft Heterotopic,Spherical,13391,0.965988187044325,0.965988187044325,223.872113856834,51
1.834,-11.564,142.245,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,2194,0.9657801782444285,0.9657801782444285,68.23386941416697,52
2.295,-25.414,209.149,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,18822,0.9654757405418141,0.9654757405418141,197.24227361148533,53
2.193,-7.931,378.461,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,3417,0.9644571643239811,0.9644571643239811,155.95525028269537,54
2.201,26.882,43.184,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,23453,0.9644567165672645,0.9644567165672645,158.8546748597779,55
1.555,-6.859,112.992,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,3622,0.9640221771573808,0.9640221771573808,35.892193464500515,56
0.742,0.926,62.852,INM,Gold,Passive,Breast,Xenograft Orthotopic,Spherical,26604,0.9640022271839928,0.9640022271839928,5.520774392807573,57
1.506,-0.445,153.948,ONM,Polymeric,Active,Breast,Allograft Heterotopic,Spherical,19399,0.9639092284016106,0.9639092284016106,32.06269324505466,58
2.451,-17.97,319.877,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,14645,0.9638666102218123,0.9638666102218123,282.48799749157075,59
0.89,0.069,64.819,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,20129,0.9637006546607907,0.9637006546607907,7.762471166286917,60
2.501,-11.663,311.063,INM,Gold,Passive,Ovary,Xenograft Orthotopic,Spherical,319,0.9634976775101226,0.9634976775101226,316.956746304349,61
2.564,-14.082,90.974,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,14622,0.9634244955798098,0.9634244955798098,366.43757464783334,62
2.321,-13.219,309.739,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,15392,0.9633429601818901,0.9633429601818901,209.41124558508935,63
2.096,-16.188,265.058,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,22266,0.96303246307888,0.96303246307888,124.73835142429432,64
2.343,-35.695,74.93,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,46155,0.9629681969691188,0.9629681969691188,220.2926463053456,65
2.146,-11.432,146.319,INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,7655,0.9622957398813979,0.9622957398813979,139.95873225726177,66
2.562,-15.277,185.355,INM,Gold,Passive,Ovary,Xenograft Orthotopic,Spherical,33194,0.9622665684221272,0.9622665684221272,364.75394692560764,67
2.279,-25.569,413.78,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,16432,0.9619431598358978,0.9619431598358978,190.10782799232996,68
2.037,32.033,246.976,ONM,Polymeric,Passive,Breast,Xenograft Heterotopic,Spherical,31091,0.9616955551801349,0.9616955551801349,108.89300933334333,69
1.777,-4.667,413.807,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,21964,0.9614541923333554,0.9614541923333554,59.84115950603196,70
1.658,-11.756,415.741,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,33332,0.9614053992288635,0.9614053992288635,45.498806015004845,71
1.004,-0.406,42.556,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,32224,0.9612950711134242,0.9612950711134242,10.092528860766844,72
2.437,-11.773,188.799,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,47393,0.9612588101935936,0.9612588101935936,273.5268726306711,73
1.886,-10.084,422.109,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,26862,0.9612064441716391,0.9612064441716391,76.91304402866095,74
1.443,0.662,112.998,ONM,Polymeric,Active,Breast,Allograft Heterotopic,Spherical,8160,0.9608693785341742,0.9608693785341742,27.73320104651841,75
2.157,-15.296,379.31,INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,20774,0.9607728270345669,0.9607728270345669,143.5489433353656,76
2.258,-12.738,307.316,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,26623,0.9607156295009511,0.9607156295009511,181.13400926196024,77
1.381,17.754,105.637,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,23516,0.960656081888679,0.960656081888679,24.043628000069333,78
1.379,10.636,75.688,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,21603,0.960179613343992,0.960179613343992,23.933157564053875,79
2.295,-29.255,362.381,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,46861,0.9600744933120887,0.9600744933120887,197.24227361148533,80
2.314,-31.815,122.425,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,48819,0.9600357938589307,0.9600357938589307,206.06299132700005,81
0.82,-0.969,402.663,INM,Gold,Passive,Breast,Xenograft Orthotopic,Spherical,23727,0.9599766394444428,0.9599766394444428,6.606934480075959,82
2.367,-27.988,282.579,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,25951,0.959954633963679,0.959954633963679,232.80912576650078,83
2.305,-13.596,403.949,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,38120,0.9598846315618997,0.9598846315618997,201.83663636815618,84
2.198,-30.515,393.201,ONM,Polymeric,Passive,Pancreas,Xenograft Heterotopic,Spherical,49940,0.9598458156924856,0.9598458156924856,157.76112696993485,85
1.565,-1.518,373.513,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,45850,0.9596753890025527,0.9596753890025527,36.72823004980846,86
2.448,-13.602,149.976,INM,Gold,Passive,Ovary,Xenograft Orthotopic,Spherical,14184,0.9596206196956614,0.9596206196956614,280.54336379517133,87
1.505,-9.723,312.869,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,37981,0.9595120562985682,0.9595120562985682,31.988951096913972,88
1.411,32.186,334.225,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,33534,0.9595063142875828,0.9595063142875828,25.763211570025756,89
1.068,-3.711,109.971,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,43973,0.959225026825508,0.959225026825508,11.694993910198711,90
1.636,-6.083,172.819,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,21264,0.9590440030705264,0.9590440030705264,43.251383103500864,91
2.15,-5.166,290.252,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,45034,0.9589533797251457,0.9589533797251457,141.2537544622754,92
1.532,-7.616,182.181,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,21265,0.9589160306594572,0.9589160306594572,34.04081897010009,93
2.432,-11.284,217.985,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,42540,0.9586951246964511,0.9586951246964511,270.3958364108843,94
1.136,-3.795,253.084,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,162,0.9585731742300008,0.9585731742300008,13.677288255958487,95
2.271,-26.475,168.712,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,37748,0.9585013075082209,0.9585013075082209,186.63796908346694,96
1.455,-9.536,21.586,ONM,Polymeric,Active,Sarcoma,Allograft Heterotopic,Spherical,41128,0.9584370046015026,0.9584370046015026,28.510182675039097,97
1.301,2.093,55.919,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,168,0.9583909315320204,0.9583909315320204,19.998618696327437,98
2.356,-14.874,405.474,Hybrid,Hybrid,Passive,Liver,Allograft Heterotopic,Spherical,25078,0.9583380803865803,0.9583380803865803,226.98648518838212,99
1.919,-4.675,111.644,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,28703,0.9577775995477102,0.9577775995477102,82.98507675144225,100
1.46,-3.092,99.908,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,28940,0.9577605832350176,0.9577605832350176,28.84031503126606,101
1.476,30.996,385.854,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,16134,0.9576472036915782,0.9576472036915782,29.92264636608189,102
1.15,-0.007,323.201,INM,Silica,Active,Breast,Xenograft Orthotopic,Spherical,8779,0.9576392628267363,0.9576392628267363,14.12537544622754,103
2.403,-17.975,46.745,INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,15365,0.9575179854979917,0.9575179854979917,252.92979964461446,104
1.424,14.928,232.877,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,13653,0.9571824364181849,0.9571824364181849,26.54605561975539,105
2.207,-22.88,83.723,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,12063,0.9571715590048882,0.9571715590048882,161.064563517827,106
1.257,-3.987,199.047,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,31135,0.9571606741529148,0.9571606741529148,18.071741260109267,107
2.471,-11.477,291.943,INM,Gold,Passive,Skin,Allograft Orthotopic,Spherical,5084,0.9569520927472105,0.9569520927472105,295.80124665515467,108
0.934,-0.58,165.529,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,48376,0.9567891768876338,0.9567891768876338,8.590135215053959,109
2.296,-14.107,387.586,INM,Gold,Passive,Ovary,Xenograft Orthotopic,Spherical,25883,0.9567704361191932,0.9567704361191932,197.696964011186,110
1.828,-6.534,181.793,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,26048,0.9566242371348543,0.9566242371348543,67.29766562843179,111
1.699,-5.494,292.425,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,10827,0.9561848716188791,0.9561848716188791,50.003453497697855,112
1.471,0.884,143.092,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,23091,0.9559565365299728,0.9559565365299728,29.580124665515466,113
1.327,35.999,204.246,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,20559,0.9559452643114194,0.9559452643114194,21.23244462000219,114
0.743,-2.145,379.074,INM,Gold,Passive,Breast,Xenograft Orthotopic,Spherical,23517,0.955944420627464,0.955944420627464,5.533501092157366,115
2.431,-35.458,222.329,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,44313,0.9559332178840888,0.9559332178840888,269.77394324449205,116
2.394,-11.557,283.719,INM,Gold,Passive,Skin,Allograft Orthotopic,Spherical,27877,0.9558749942210778,0.9558749942210778,247.74220576332863,117
0.794,29.305,2.534,ONM,Liposome,Active,Sarcoma,Xenograft Heterotopic,Spherical,37134,0.9556905474631872,0.9556905474631872,6.223002851691596,118
1.971,35.951,50.525,ONM,Polymeric,Passive,Breast,Xenograft Heterotopic,Spherical,16643,0.9554742427899466,0.9554742427899466,93.5405674147552,119
1.451,-1.801,234.781,ONM,Polymeric,Active,Breast,Allograft Heterotopic,Spherical,832,0.9553245819962881,0.9553245819962881,28.248799749157076,120
1.539,27.829,310.642,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,27499,0.9552363199161301,0.9552363199161301,34.59393778261219,121
1.558,30.136,381.143,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,8098,0.9552363199161301,0.9552363199161301,36.14098626396133,122
2.287,-35.337,112.007,ONM,Polymeric,Passive,Cervix,Xenograft Heterotopic,Spherical,4092,0.9552236436969223,0.9552236436969223,193.6421963946607,123
2.377,-28.358,354.072,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,14492,0.9551863252074609,0.9551863252074609,238.2319469358689,124
2.395,12.156,9.679,ONM,Other OM,Active,Breast,Xenograft Heterotopic,Rod,35658,0.9548100218739624,0.9548100218739624,248.31331052955704,125
2.545,-18.051,390.667,INM,Hybrid,Passive,Skin,Xenograft Orthotopic,Spherical,43764,0.9547590680450758,0.9547590680450758,350.75187395256796,126
2.335,-7.131,255.431,INM,Hybrid,Passive,Skin,Xenograft Orthotopic,Spherical,13791,0.9546906506045466,0.9546906506045466,216.271852372702,127
2.518,-16.679,232.195,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,33249,0.9545677597948085,0.9545677597948085,329.6097121774576,128
0.75,0.41,358.719,INM,Gold,Passive,Breast,Xenograft Orthotopic,Spherical,44035,0.9543609385930208,0.9543609385930208,5.623413251903491,129
2.485,-26.755,195.042,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,12563,0.9541097677032451,0.9541097677032451,305.49211132155125,130
2.44,-36.401,284.437,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,34716,0.9537490392864802,0.9537490392864802,275.4228703338166,131
1.704,-3.254,77.708,INM,Silica,Active,Breast,Xenograft Orthotopic,Spherical,38605,0.9536701380234149,0.9536701380234149,50.5824662003114,132
1.73,-5.274,394.937,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,47014,0.9535852658597256,0.9535852658597256,53.70317963702527,133
1.596,-2.794,420.193,INM,Silica,Active,Breast,Xenograft Orthotopic,Spherical,29980,0.9534661737807162,0.9534661737807162,39.44573020752785,134
1.911,-5.212,417.832,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,35937,0.9534508244661227,0.9534508244661227,81.47042840208397,135
1.476,7.266,286.842,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,23768,0.9533830196791323,0.9533830196791323,29.92264636608189,136
1.358,12.923,61.973,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,133,0.9532909307856111,0.9532909307856111,22.803420720004187,137
2.522,-14.426,179.011,Hybrid,Hybrid,Passive,Liver,Allograft Heterotopic,Spherical,47267,0.9532890061391611,0.9532890061391611,332.65955329400435,138
2.239,-23.138,371.377,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,21891,0.9532585254594029,0.9532585254594029,173.38039977541374,139
2.235,-23.069,297.183,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,6620,0.9532585254594029,0.9532585254594029,171.79083871575875,140
2.437,-11.144,106.172,INM,Gold,Passive,Skin,Allograft Orthotopic,Spherical,7641,0.9531813053066663,0.9531813053066663,273.5268726306711,141
2.184,-31.095,417.417,ONM,Polymeric,Passive,Pancreas,Xenograft Heterotopic,Spherical,1493,0.9528546116512969,0.9528546116512969,152.75660582380732,142
2.301,-16.929,200.322,Hybrid,Hybrid,Active,Breast,Xenograft Heterotopic,Spherical,22443,0.9528362348462823,0.9528362348462823,199.9861869632745,143
1.703,-12.174,72.198,Hybrid,Hybrid,Active,Skin,Allograft Heterotopic,Spherical,8511,0.9527785122313038,0.9527785122313038,50.46612975635284,144
1.363,27.135,247.311,ONM,Polymeric,Active,Breast,Allograft Heterotopic,Spherical,39831,0.9527188372393697,0.9527188372393697,23.06747188720069,145
1.349,29.413,374.557,ONM,Polymeric,Active,Breast,Allograft Heterotopic,Spherical,49563,0.9527188372393697,0.9527188372393697,22.335722228305315,146
1.842,-6.417,171.538,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,14899,0.9527147612108,0.9527147612108,69.5024317588797,147
0.803,-4.792,253.096,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,6987,0.9525451443568562,0.9525451443568562,6.353309318517438,148
2.378,-11.984,241.875,Hybrid,Hybrid,Passive,Liver,Allograft Heterotopic,Spherical,451,0.952418098729891,0.952418098729891,238.78112829131783,149
2.195,-38.039,152.731,ONM,Polymeric,Passive,Lung,Xenograft Heterotopic,Spherical,28246,0.952380197411598,0.952380197411598,156.67510701081486,150
1.268,11.44,91.939,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,39234,0.9523412648196223,0.9523412648196223,18.535316234148116,151
1.239,32.536,343.394,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,44575,0.9523307066959449,0.9523307066959449,17.338039977541385,152
2.241,-38.208,153.311,ONM,Polymeric,Passive,Prostate,Xenograft Heterotopic,Spherical,1598,0.9523232003591414,0.9523232003591414,174.18068733916147,153
2.374,-8.125,214.798,INM,Gold,Active,Other,Allograft Heterotopic,Rod,47927,0.9521846783471254,0.9521846783471254,236.59196974857588,154
1.088,-4.755,94.987,INM,Silica,Active,Breast,Xenograft Orthotopic,Spherical,33597,0.9521543627424525,0.9521543627424525,12.246161992650489,155
0.958,-4.875,122.001,INM,Silica,Active,Breast,Xenograft Orthotopic,Spherical,34609,0.9521028633506469,0.9521028633506469,9.078205301781857,156
0.702,-15.938,38.227,Hybrid,Hybrid,Active,Cervix,Xenograft Heterotopic,Spherical,9714,0.9520532770421811,0.9520532770421811,5.035006087879047,157
1.366,-14.978,21.397,ONM,Polymeric,Active,Liver,Allograft Heterotopic,Spherical,7760,0.9519975783260863,0.9519975783260863,23.227367963571073,158
1.924,-38.047,402.204,ONM,Other OM,Passive,Skin,Allograft Orthotopic,Plate,6572,0.951798066069485,0.951798066069485,83.94599865193973,159
2.344,-5.412,383.442,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,28179,0.9517906993408151,0.9517906993408151,220.80047330188992,160
1.887,-8.5,58.744,Hybrid,Hybrid,Active,Liver,Allograft Heterotopic,Spherical,38682,0.9517593995970147,0.9517593995970147,77.090346906443,161
2.465,-12.858,116.418,INM,Silica,Passive,Sarcoma,Allograft Orthotopic,Spherical,2189,0.9514873837536222,0.9514873837536222,291.7427014001166,162
2.311,-19.334,231.028,Hybrid,Hybrid,Passive,Skin,Allograft Orthotopic,Spherical,11600,0.9510282592335474,0.9510282592335474,204.6444636724674,163
1.661,33.049,3.551,ONM,Dendrimer,Active,Sarcoma,Allograft Orthotopic,Spherical,31695,0.9509704527502426,0.9509704527502426,45.81418867145335,164
1.191,32.3,202.562,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,2068,0.9509540828861193,0.9509540828861193,15.523870099580824,165
1.381,1.843,98.092,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,7900,0.9508273752677422,0.9508273752677422,24.043628000069333,166
2.201,-37.326,147.778,ONM,Polymeric,Passive,Lung,Xenograft Heterotopic,Spherical,48088,0.9507153268871569,0.9507153268871569,158.8546748597779,167
2.277,-15.217,66.957,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,16031,0.9506044713056421,0.9506044713056421,189.2343618644976,168
2.34,-11.85,149.785,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,21312,0.9504241200158288,0.9504241200158288,218.77616239495518,169
1.9,-36.75,356.58,ONM,Other OM,Passive,Skin,Allograft Orthotopic,Plate,18821,0.950369013031037,0.950369013031037,79.43282347242814,170
1.49,16.413,54.975,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,29789,0.9503537700802525,0.9503537700802525,30.902954325135905,171
2.468,-32.354,149.441,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,8099,0.9503016173141854,0.9503016173141854,293.76496519615307,172
1.364,4.614,357.576,ONM,Polymeric,Active,Breast,Allograft Heterotopic,Spherical,33732,0.9498658964862904,0.9498658964862904,23.12064790175595,173
1.448,-5.526,113.388,INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,29421,0.9497220683561622,0.9497220683561622,28.05433637951713,174
1.56,22.14,267.052,ONM,Polymeric,Active,Breast,Allograft Orthotopic,Spherical,37387,0.9496052776970005,0.9496052776970005,36.30780547701014,175
2.241,-4.469,291.47,INM,Gold,Active,Other,Allograft Heterotopic,Rod,21581,0.9495653985694951,0.9495653985694951,174.18068733916147,176
2.419,-10.074,288.176,INM,Gold,Passive,Skin,Allograft Orthotopic,Spherical,44450,0.9495608462757164,0.9495608462757164,262.4218543384442,177
2.551,-16.338,308.323,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,22559,0.9493334529722757,0.9493334529722757,355.6313185689855,178
1.418,34.536,0.196,ONM,Dendrimer,Active,Cervix,Xenograft Heterotopic,Spherical,6249,0.9489826625900735,0.9489826625900735,26.18183008218985,179
2.342,-7.46,81.322,INM,Hybrid,Passive,Skin,Xenograft Orthotopic,Spherical,31642,0.9488979895645604,0.9488979895645604,219.78598727848254,180
